epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,172.728,3.0828,0.04739,0.26066,3.04603,0.000235413,0.000235413,0.000235413
2,314.79,2.94369,0.23223,0.63507,2.2422,0.000414828,0.000414828,0.000414828
3,475.676,2.47267,0.39336,0.92891,1.49658,0.000535338,0.000535338,0.000535338
4,614.502,1.92199,0.83886,0.99052,0.69773,0.000448928,0.000448928,0.000448928
5,739.36,1.52936,0.79621,0.99526,0.57831,0.00036057,0.00036057,0.00036057
6,940.306,1.26882,0.91469,0.99526,0.35042,0.000272212,0.000272212,0.000272212
7,1208.31,1.1202,0.95261,1,0.2505,0.000183855,0.000183855,0.000183855
8,1454.8,0.93976,0.9763,0.99526,0.21319,9.54975e-05,9.54975e-05,9.54975e-05
