epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,85.7116,3.0828,0.04739,0.26066,3.04603,0.000235413,0.000235413,0.000235413
2,229.687,2.93141,0.27962,0.55924,2.2342,0.000442168,0.000442168,0.000442168
3,313.7,2.34934,0.59242,0.99052,1.11685,0.000617507,0.000617507,0.000617507
4,662.441,1.81203,0.62085,1,0.94821,0.000572628,0.000572628,0.000572628
5,744.729,1.48594,0.80569,0.99526,0.60991,0.000525504,0.000525504,0.000525504
6,911.133,1.28854,0.90521,0.99052,0.33083,0.00047838,0.00047838,0.00047838
7,997.083,1.13826,0.87678,1,0.34425,0.000431256,0.000431256,0.000431256
8,1085.16,1.05064,0.891,0.99526,0.36822,0.000384132,0.000384132,0.000384132
9,1215.21,0.95069,0.95735,0.99526,0.24262,0.000337008,0.000337008,0.000337008
10,1300.02,0.83001,0.94313,1,0.17877,0.000289884,0.000289884,0.000289884
11,2363.8,0.79809,0.95735,0.99526,0.27845,0.00024276,0.00024276,0.00024276
12,4067.93,0.76794,0.96209,1,0.13439,0.000195636,0.000195636,0.000195636
13,4147.36,0.66599,0.9763,0.99526,0.11982,0.000148512,0.000148512,0.000148512
14,4229.92,0.64115,0.98578,1,0.0875,0.000101388,0.000101388,0.000101388
15,7354.39,0.58849,0.99052,1,0.08654,5.4264e-05,5.4264e-05,5.4264e-05
